epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.892,0.59561,3.36418,1.02187,0.84301,0.5366,0.62124,0.55347,0.43662,1.16163,0.90194,0.000100773,0.000100773,0.000100773
2,265.347,0.53275,1.79184,0.97196,0.82554,0.82732,0.86428,0.79127,0.43056,0.69609,0.88587,0.000197778,0.000197778,0.000197778
3,394.585,0.51873,1.36392,0.9555,0.92266,0.87909,0.94654,0.86035,0.42957,0.56252,0.87641,0.000290783,0.000290783,0.000290783
4,523.274,0.50125,1.08873,0.94735,0.95343,0.91277,0.94835,0.88037,0.40346,0.4962,0.85293,0.000285002,0.000285002,0.000285002
5,653.33,0.48387,0.89417,0.93835,0.95756,0.93435,0.98627,0.91904,0.39162,0.4175,0.85289,0.000279002,0.000279002,0.000279002
6,783.487,0.46282,0.76026,0.92694,0.97961,0.91586,0.97593,0.90555,0.38725,0.39468,0.84157,0.000273003,0.000273003,0.000273003
7,913.774,0.44653,0.67078,0.91739,0.94106,0.95789,0.97405,0.91264,0.36599,0.3675,0.83168,0.000267004,0.000267004,0.000267004
8,1044.89,0.43815,0.61412,0.91794,0.95476,0.98344,0.99082,0.93428,0.35475,0.3266,0.82613,0.000261004,0.000261004,0.000261004
9,1176.32,0.42314,0.56261,0.91059,0.97065,0.97931,0.99289,0.93541,0.3486,0.3174,0.8243,0.000255005,0.000255005,0.000255005
10,1306.76,0.41578,0.52011,0.90449,0.97493,0.98255,0.99117,0.93694,0.34616,0.30038,0.82473,0.000249005,0.000249005,0.000249005
11,1437.34,0.40673,0.48701,0.90245,0.97682,0.98597,0.99452,0.94134,0.33349,0.28071,0.82006,0.000243006,0.000243006,0.000243006
12,1568.76,0.40369,0.46324,0.9014,0.94986,0.98909,0.9944,0.93803,0.33597,0.27188,0.81953,0.000237007,0.000237007,0.000237007
13,1700.06,0.3957,0.44402,0.89755,0.98111,0.98713,0.99422,0.94388,0.32665,0.26878,0.81578,0.000231007,0.000231007,0.000231007
14,1830.72,0.39579,0.43383,0.89729,0.98124,0.995,0.99479,0.94838,0.31864,0.25274,0.81073,0.000225008,0.000225008,0.000225008
15,1962.06,0.37937,0.40898,0.88691,0.97587,0.99359,0.99467,0.94869,0.31623,0.24685,0.81038,0.000219008,0.000219008,0.000219008
16,2094.22,0.37631,0.39706,0.88799,0.97907,0.9948,0.99453,0.95041,0.31113,0.23931,0.81024,0.000213009,0.000213009,0.000213009
17,2226.09,0.3736,0.38288,0.89011,0.97415,0.99635,0.99407,0.95234,0.31069,0.23268,0.81104,0.00020701,0.00020701,0.00020701
18,2359.9,0.36797,0.37571,0.88612,0.98704,0.99607,0.99416,0.94904,0.30722,0.22843,0.8101,0.00020101,0.00020101,0.00020101
19,2490.83,0.36556,0.36956,0.88485,0.97702,0.99649,0.995,0.95042,0.30255,0.2274,0.81086,0.000195011,0.000195011,0.000195011
20,2623.89,0.36375,0.35539,0.88412,0.98184,0.99765,0.9946,0.95277,0.29768,0.21643,0.8041,0.000189011,0.000189011,0.000189011
21,2752.93,0.36086,0.35512,0.8879,0.96718,0.99727,0.99399,0.95262,0.30512,0.21565,0.81214,0.000183012,0.000183012,0.000183012
22,2882.02,0.35624,0.34647,0.88096,0.98094,0.99649,0.99472,0.95772,0.29853,0.21267,0.80043,0.000177013,0.000177013,0.000177013
23,3015.94,0.34856,0.33612,0.88014,0.97419,0.99758,0.99415,0.95898,0.29201,0.20448,0.80252,0.000171013,0.000171013,0.000171013
24,3147.19,0.34654,0.33164,0.87778,0.9779,0.99632,0.9947,0.9549,0.29683,0.20607,0.80213,0.000165014,0.000165014,0.000165014
25,3277.97,0.34095,0.31729,0.8753,0.98572,0.9957,0.99397,0.95997,0.28702,0.19911,0.80101,0.000159014,0.000159014,0.000159014
26,3409.95,0.3386,0.31369,0.87423,0.97771,0.99645,0.99449,0.9563,0.28954,0.20406,0.80068,0.000153015,0.000153015,0.000153015
27,3543.51,0.33853,0.3125,0.87658,0.98193,0.99688,0.9938,0.96132,0.28256,0.18874,0.79989,0.000147016,0.000147016,0.000147016
28,3676.31,0.3369,0.30701,0.87495,0.98152,0.99683,0.99428,0.95875,0.28226,0.19414,0.79655,0.000141016,0.000141016,0.000141016
29,3809.12,0.32668,0.29451,0.86801,0.9822,0.99679,0.99473,0.95998,0.27581,0.18792,0.79481,0.000135017,0.000135017,0.000135017
30,3942.17,0.33072,0.29649,0.87214,0.97784,0.99615,0.99388,0.95948,0.28247,0.18971,0.79666,0.000129017,0.000129017,0.000129017
31,4073.94,0.32491,0.29276,0.86647,0.98409,0.9973,0.99394,0.9613,0.27654,0.18303,0.79615,0.000123018,0.000123018,0.000123018
32,4207.56,0.31852,0.27892,0.86444,0.98546,0.99756,0.99476,0.96336,0.27916,0.18182,0.79498,0.000117019,0.000117019,0.000117019
33,4340.1,0.31542,0.27746,0.86764,0.98157,0.99782,0.99476,0.96291,0.27332,0.17735,0.79355,0.000111019,0.000111019,0.000111019
34,4467.2,0.31238,0.27357,0.86414,0.98308,0.99676,0.99386,0.9593,0.27211,0.17276,0.79499,0.00010502,0.00010502,0.00010502
35,4592.46,0.31335,0.27386,0.86408,0.98155,0.99804,0.99403,0.9625,0.26846,0.17259,0.79619,9.90204e-05,9.90204e-05,9.90204e-05
36,4720.9,0.30533,0.26612,0.86366,0.98392,0.99829,0.99499,0.96482,0.26468,0.17265,0.78915,9.3021e-05,9.3021e-05,9.3021e-05
37,4852.73,0.3091,0.26382,0.86521,0.9811,0.99531,0.99401,0.96523,0.26769,0.16871,0.79503,8.70216e-05,8.70216e-05,8.70216e-05
38,4983.92,0.30542,0.26168,0.86031,0.97584,0.99508,0.99445,0.96639,0.26368,0.17187,0.79139,8.10222e-05,8.10222e-05,8.10222e-05
39,5115.97,0.30003,0.25608,0.86099,0.98326,0.99812,0.99487,0.96404,0.2632,0.16781,0.78821,7.50228e-05,7.50228e-05,7.50228e-05
40,5249.99,0.29993,0.25462,0.8633,0.98422,0.99851,0.99436,0.96741,0.26041,0.16213,0.7899,6.90234e-05,6.90234e-05,6.90234e-05
41,5377.3,0.25019,0.17866,0.80897,0.98484,0.99801,0.99476,0.96839,0.25658,0.16216,0.78413,6.3024e-05,6.3024e-05,6.3024e-05
42,5501.08,0.24385,0.17424,0.80888,0.98713,0.99702,0.99482,0.96894,0.25479,0.16028,0.78703,5.70246e-05,5.70246e-05,5.70246e-05
43,5624,0.24047,0.16795,0.80841,0.98634,0.99881,0.99492,0.96909,0.25345,0.15568,0.78498,5.10252e-05,5.10252e-05,5.10252e-05
44,5749.27,0.23935,0.16477,0.80485,0.98894,0.99807,0.995,0.97076,0.24892,0.15689,0.78333,4.50258e-05,4.50258e-05,4.50258e-05
45,5878.44,0.23224,0.1617,0.80272,0.98598,0.99876,0.995,0.96847,0.24937,0.15392,0.78319,3.90264e-05,3.90264e-05,3.90264e-05
46,6004.41,0.23062,0.15876,0.80364,0.98772,0.99805,0.99493,0.96911,0.25009,0.1552,0.78201,3.3027e-05,3.3027e-05,3.3027e-05
47,6129.67,0.22936,0.15642,0.80236,0.98825,0.99786,0.99499,0.97113,0.24998,0.15317,0.78422,2.70276e-05,2.70276e-05,2.70276e-05
48,6254.5,0.22689,0.1548,0.80217,0.98826,0.99836,0.99493,0.97012,0.24802,0.15022,0.78254,2.10282e-05,2.10282e-05,2.10282e-05
49,6380.37,0.22506,0.15125,0.80139,0.98617,0.99832,0.99494,0.97051,0.24592,0.14849,0.78204,1.50288e-05,1.50288e-05,1.50288e-05
50,6504.85,0.22427,0.15074,0.79996,0.98879,0.9982,0.99492,0.97144,0.24447,0.14648,0.78065,9.0294e-06,9.0294e-06,9.0294e-06
